application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_42943,SUCCESS,2018/05/26 02:29:18,2018/05/26 03:53:47,2018/05/26 03:58:34,01:24:29,01:29:16,5069,5356
application_1527220447442_42945,SUCCESS,2018/05/26 02:29:21,2018/05/26 03:53:46,2018/05/26 03:58:34,01:24:25,01:29:13,5065,5353
application_1527220447442_43050,SUCCESS,2018/05/26 02:34:43,2018/05/26 03:53:54,2018/05/26 04:03:56,01:19:11,01:29:13,4751,5353
application_1527220447442_42059,SUCCESS,2018/05/26 02:01:17,2018/05/26 03:12:28,2018/05/26 03:30:23,01:11:11,01:29:6,4271,5346
application_1527220447442_42060,SUCCESS,2018/05/26 02:01:17,2018/05/26 03:12:27,2018/05/26 03:30:23,01:11:10,01:29:6,4270,5346
application_1527220447442_42084,SUCCESS,2018/05/26 02:01:25,2018/05/26 03:12:27,2018/05/26 03:30:23,01:11:2,01:28:58,4262,5338
application_1527220447442_42085,SUCCESS,2018/05/26 02:01:30,2018/05/26 03:12:27,2018/05/26 03:30:23,01:10:57,01:28:53,4257,5333
application_1527220447442_42086,SUCCESS,2018/05/26 02:01:31,2018/05/26 03:12:27,2018/05/26 03:30:23,01:10:56,01:28:52,4256,5332
application_1527220447442_42956,SUCCESS,2018/05/26 02:29:44,2018/05/26 03:53:47,2018/05/26 03:58:34,01:24:3,01:28:50,5043,5330
application_1527220447442_42954,SUCCESS,2018/05/26 02:29:44,2018/05/26 03:53:46,2018/05/26 03:58:34,01:24:2,01:28:50,5042,5330
application_1527220447442_42957,SUCCESS,2018/05/26 02:29:45,2018/05/26 03:53:48,2018/05/26 03:58:31,01:24:3,01:28:46,5043,5326
application_1527220447442_42961,SUCCESS,2018/05/26 02:29:54,2018/05/26 03:53:47,2018/05/26 03:58:31,01:23:53,01:28:37,5033,5317
application_1527220447442_42963,SUCCESS,2018/05/26 02:29:56,2018/05/26 03:53:47,2018/05/26 03:58:31,01:23:51,01:28:35,5031,5315
application_1527220447442_42504,SUCCESS,2018/05/26 02:22:32,2018/05/26 03:12:52,2018/05/26 03:50:54,00:50:20,01:28:22,3020,5302
application_1527220447442_42965,SUCCESS,2018/05/26 02:30:14,2018/05/26 03:53:47,2018/05/26 03:58:31,01:23:33,01:28:17,5013,5297
application_1527220447442_42474,SUCCESS,2018/05/26 02:22:03,2018/05/26 03:12:31,2018/05/26 03:50:14,00:50:28,01:28:11,3028,5291
application_1527220447442_42967,SUCCESS,2018/05/26 02:30:23,2018/05/26 03:53:46,2018/05/26 03:58:30,01:23:23,01:28:7,5003,5287
application_1527220447442_42968,SUCCESS,2018/05/26 02:30:33,2018/05/26 03:53:46,2018/05/26 03:58:30,01:23:13,01:27:57,4993,5277
application_1527220447442_42996,SUCCESS,2018/05/26 02:30:34,2018/05/26 03:53:46,2018/05/26 03:58:30,01:23:12,01:27:56,4992,5276
application_1527220447442_43270,SUCCESS,2018/05/26 02:35:59,2018/05/26 03:53:53,2018/05/26 04:03:51,01:17:54,01:27:52,4674,5272
application_1527220447442_43275,SUCCESS,2018/05/26 02:36:00,2018/05/26 03:53:54,2018/05/26 04:03:51,01:17:54,01:27:51,4674,5271
application_1527220447442_42148,SUCCESS,2018/05/26 02:12:36,2018/05/26 03:12:28,2018/05/26 03:40:20,00:59:52,01:27:44,3592,5264
application_1527220447442_42542,SUCCESS,2018/05/26 02:22:20,2018/05/26 03:12:42,2018/05/26 03:50:03,00:50:22,01:27:43,3022,5263
application_1527220447442_43464,SUCCESS,2018/05/26 02:40:59,2018/05/26 03:53:54,2018/05/26 04:08:38,01:12:55,01:27:39,4375,5259
application_1527220447442_42152,SUCCESS,2018/05/26 02:12:49,2018/05/26 03:12:27,2018/05/26 03:40:10,00:59:38,01:27:21,3578,5241
application_1527220447442_42999,SUCCESS,2018/05/26 02:31:22,2018/05/26 03:53:52,2018/05/26 03:58:36,01:22:30,01:27:14,4950,5234
application_1527220447442_42998,SUCCESS,2018/05/26 02:31:19,2018/05/26 03:53:46,2018/05/26 03:58:30,01:22:27,01:27:11,4947,5231
application_1527220447442_43000,SUCCESS,2018/05/26 02:31:22,2018/05/26 03:53:46,2018/05/26 03:58:30,01:22:24,01:27:8,4944,5228
application_1527220447442_43002,SUCCESS,2018/05/26 02:31:28,2018/05/26 03:53:52,2018/05/26 03:58:36,01:22:24,01:27:8,4944,5228
application_1527220447442_43015,SUCCESS,2018/05/26 02:31:42,2018/05/26 03:53:52,2018/05/26 03:58:50,01:22:10,01:27:8,4930,5228
application_1527220447442_42124,SUCCESS,2018/05/26 02:08:50,2018/05/26 03:12:27,2018/05/26 03:35:57,01:3:37,01:27:7,3817,5227
application_1527220447442_43001,SUCCESS,2018/05/26 02:31:31,2018/05/26 03:53:51,2018/05/26 03:58:36,01:22:20,01:27:5,4940,5225
application_1527220447442_43012,SUCCESS,2018/05/26 02:31:31,2018/05/26 03:53:52,2018/05/26 03:58:36,01:22:21,01:27:5,4941,5225
application_1527220447442_43010,SUCCESS,2018/05/26 02:31:32,2018/05/26 03:53:52,2018/05/26 03:58:36,01:22:20,01:27:4,4940,5224
application_1527220447442_43003,SUCCESS,2018/05/26 02:31:23,2018/05/26 03:53:46,2018/05/26 03:58:27,01:22:23,01:27:4,4943,5224
application_1527220447442_43016,SUCCESS,2018/05/26 02:31:46,2018/05/26 03:53:52,2018/05/26 03:58:50,01:22:6,01:27:4,4926,5224
application_1527220447442_43394,SUCCESS,2018/05/26 02:37:02,2018/05/26 03:53:54,2018/05/26 04:04:04,01:16:52,01:27:2,4612,5222
