application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_452244,SUCCESS,2018/06/01 05:32:42,2018/06/01 05:36:11,2018/06/01 05:40:55,00:3:29,00:8:13
application_1527220447442_446876,SUCCESS,2018/06/01 04:04:17,2018/06/01 04:05:56,2018/06/01 04:12:30,00:1:39,00:8:13
application_1527220447442_440361,SUCCESS,2018/06/01 01:43:33,2018/06/01 01:46:21,2018/06/01 01:51:46,00:2:48,00:8:13
application_1527220447442_452228,SUCCESS,2018/06/01 05:32:42,2018/06/01 05:36:28,2018/06/01 05:40:55,00:3:46,00:8:13
application_1527220447442_449561,SUCCESS,2018/06/01 04:47:43,2018/06/01 04:54:33,2018/06/01 04:55:56,00:6:50,00:8:13
application_1527220447442_439258,SUCCESS,2018/06/01 01:19:19,2018/06/01 01:22:51,2018/06/01 01:27:31,00:3:32,00:8:12
application_1527220447442_451952,SUCCESS,2018/06/01 05:25:03,2018/06/01 05:29:52,2018/06/01 05:33:15,00:4:49,00:8:12
application_1527220447442_450877,SUCCESS,2018/06/01 05:12:58,2018/06/01 05:19:27,2018/06/01 05:21:10,00:6:29,00:8:12
application_1527220447442_447056,SUCCESS,2018/06/01 04:10:48,2018/06/01 04:16:37,2018/06/01 04:19:00,00:5:49,00:8:12
application_1527220447442_452286,SUCCESS,2018/06/01 05:38:16,2018/06/01 05:43:06,2018/06/01 05:46:28,00:4:50,00:8:12
application_1527220447442_456486,SUCCESS,2018/06/01 06:46:27,2018/06/01 06:53:30,2018/06/01 06:54:38,00:7:3,00:8:11
application_1527220447442_455585,SUCCESS,2018/06/01 06:26:50,2018/06/01 06:32:06,2018/06/01 06:35:01,00:5:16,00:8:11
application_1527220447442_455615,SUCCESS,2018/06/01 06:26:58,2018/06/01 06:32:13,2018/06/01 06:35:09,00:5:15,00:8:11
application_1527220447442_439925,SUCCESS,2018/06/01 01:34:21,2018/06/01 01:36:12,2018/06/01 01:42:31,00:1:51,00:8:10
application_1527220447442_459106,SUCCESS,2018/06/01 07:26:06,2018/06/01 07:27:37,2018/06/01 07:34:16,00:1:31,00:8:10
application_1527220447442_452233,SUCCESS,2018/06/01 05:33:31,2018/06/01 05:37:42,2018/06/01 05:41:41,00:4:11,00:8:10
